Index,Date,Open,High,Low,Close,Adj Close
NYA,2005-01-03,7250.060059,7268.209961,7174.0,7179.709961,7179.709961
NYA,2005-01-04,7179.709961,7191.240234,7084.149902,7090.52002,7090.52002
NYA,2005-01-05,7090.52002,7103.52002,7055.089844,7055.209961,7055.209961
NYA,2005-01-06,7055.220215,7095.990234,7052.819824,7076.939941,7076.939941
NYA,2005-01-07,7076.939941,7102.790039,7039.410156,7057.509766,7057.509766
NYA,2005-01-10,7057.509766,7106.970215,7055.540039,7081.700195,7081.700195
NYA,2005-01-11,7081.709961,7081.709961,7037.080078,7044.109863,7044.109863
NYA,2005-01-12,7044.109863,7076.850098,7016.839844,7075.640137,7075.640137
NYA,2005-01-13,7075.629883,7075.779785,7021.899902,7028.669922,7028.669922
NYA,2005-01-14,7028.680176,7069.620117,7028.029785,7066.220215,7066.220215
NYA,2005-01-18,7066.209961,7114.529785,7036.700195,7114.529785,7114.529785
NYA,2005-01-19,7114.509766,7115.879883,7058.060059,7059.27002,7059.27002
NYA,2005-01-20,7059.27002,7059.27002,6999.5,7010.470215,7010.470215
NYA,2005-01-21,7010.470215,7042.049805,6996.379883,6996.560059,6996.560059
NYA,2005-01-24,6996.560059,7024.319824,6984.02002,6984.029785,6984.029785
NYA,2005-01-25,6984.029785,7029.72998,6984.029785,6998.640137,6998.640137
NYA,2005-01-26,6998.620117,7052.720215,6998.620117,7046.399902,7046.399902
NYA,2005-01-27,7046.379883,7061.830078,7025.859863,7048.970215,7048.970215
NYA,2005-01-28,7048.970215,7051.02002,7006.879883,7031.990234,7031.990234
NYA,2005-01-31,7031.990234,7091.27002,7031.990234,7089.830078,7089.830078
NYA,2005-02-01,7089.950195,7149.410156,7089.950195,7146.209961,7146.209961
NYA,2005-02-02,7146.200195,7169.580078,7146.200195,7169.390137,7169.390137
NYA,2005-02-03,7169.370117,7169.370117,7125.839844,7148.319824,7148.319824
NYA,2005-02-04,7148.359863,7218.209961,7148.259766,7217.430176,7217.430176
NYA,2005-02-07,7217.430176,7218.509766,7188.640137,7200.910156,7200.910156
NYA,2005-02-08,7200.899902,7213.779785,7186.799805,7207.450195,7207.450195
NYA,2005-02-09,7207.450195,7211.310059,7161.350098,7161.990234,7161.990234
NYA,2005-02-10,7161.990234,7217.379883,7161.990234,7210.649902,7210.649902
NYA,2005-02-11,7210.660156,7273.209961,7197.709961,7261.640137,7261.640137
NYA,2005-02-14,7261.640137,7282.549805,7260.799805,7280.370117,7280.370117
NYA,2005-02-15,7280.370117,7310.509766,7280.370117,7303.959961,7303.959961
NYA,2005-02-16,7303.959961,7315.700195,7268.0,7306.759766,7306.759766
NYA,2005-02-17,7306.759766,7317.790039,7272.47998,7272.540039,7272.540039
NYA,2005-02-18,7272.540039,7292.350098,7267.77002,7287.470215,7287.470215
NYA,2005-02-22,7287.470215,7303.410156,7211.149902,7211.169922,7211.169922
NYA,2005-02-23,7211.169922,7252.200195,7211.169922,7243.279785,7243.279785
NYA,2005-02-24,7243.27002,7283.580078,7223.439941,7283.279785,7283.279785
NYA,2005-02-25,7283.390137,7362.830078,7282.029785,7361.890137,7361.890137
NYA,2005-02-28,7361.890137,7361.890137,7292.200195,7321.22998,7321.22998
NYA,2005-03-01,7321.22998,7358.580078,7321.22998,7351.029785,7351.029785
NYA,2005-03-02,7351.029785,7365.140137,7306.669922,7343.140137,7343.140137
NYA,2005-03-03,7343.180176,7379.060059,7328.350098,7357.120117,7357.120117
NYA,2005-03-04,7357.120117,7453.879883,7357.120117,7441.180176,7441.180176
NYA,2005-03-07,7441.180176,7455.080078,7428.890137,7440.310059,7440.310059
NYA,2005-03-08,7440.310059,7449.669922,7422.740234,7426.169922,7426.169922
NYA,2005-03-09,7426.169922,7426.169922,7354.740234,7354.740234,7354.740234
NYA,2005-03-10,7354.740234,7370.279785,7320.77002,7354.97998,7354.97998
NYA,2005-03-11,7354.990234,7383.72998,7323.27002,7330.430176,7330.430176
